[2020-01-26 16:14:26.571]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner debug  49 - Creating MapperFactoryBean with name 'subwayStationMapper' and 'com.cpf.xunwu.mapper.SubwayStationMapper' mapperInterface
[2020-01-26 16:14:26.571]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner debug  49 - Enabling autowire by type for MapperFactoryBean with name 'subwayStationMapper'.
[2020-01-26 16:14:26.571]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner debug  49 - Creating MapperFactoryBean with name 'supportAddressMapper' and 'com.cpf.xunwu.mapper.SupportAddressMapper' mapperInterface
[2020-01-26 16:14:26.571]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner debug  49 - Enabling autowire by type for MapperFactoryBean with name 'supportAddressMapper'.
[2020-01-26 16:14:26.571]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner debug  49 - Creating MapperFactoryBean with name 'userMapper' and 'com.cpf.xunwu.mapper.UserMapper' mapperInterface
[2020-01-26 16:14:26.571]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner debug  49 - Enabling autowire by type for MapperFactoryBean with name 'userMapper'.
[2020-01-26 16:14:29.911]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner scanCandidateComponents  437 - Identified candidate component class: file [E:\IdeaWorkSpace\xunwu\build\classes\java\main\com\cpf\xunwu\mapper\HouseDetailMapper.class]
[2020-01-26 16:14:29.911]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner scanCandidateComponents  437 - Identified candidate component class: file [E:\IdeaWorkSpace\xunwu\build\classes\java\main\com\cpf\xunwu\mapper\HouseMapper.class]
[2020-01-26 16:14:29.911]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner scanCandidateComponents  437 - Identified candidate component class: file [E:\IdeaWorkSpace\xunwu\build\classes\java\main\com\cpf\xunwu\mapper\HousePictureMapper.class]
[2020-01-26 16:14:29.911]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner scanCandidateComponents  437 - Identified candidate component class: file [E:\IdeaWorkSpace\xunwu\build\classes\java\main\com\cpf\xunwu\mapper\HouseTagMapper.class]
[2020-01-26 16:14:29.911]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner scanCandidateComponents  437 - Identified candidate component class: file [E:\IdeaWorkSpace\xunwu\build\classes\java\main\com\cpf\xunwu\mapper\RoleMapper.class]
[2020-01-26 16:14:29.912]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner scanCandidateComponents  437 - Identified candidate component class: file [E:\IdeaWorkSpace\xunwu\build\classes\java\main\com\cpf\xunwu\mapper\SubwayMapper.class]
[2020-01-26 16:14:29.912]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner scanCandidateComponents  437 - Identified candidate component class: file [E:\IdeaWorkSpace\xunwu\build\classes\java\main\com\cpf\xunwu\mapper\SubwayStationMapper.class]
[2020-01-26 16:14:29.912]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner scanCandidateComponents  437 - Identified candidate component class: file [E:\IdeaWorkSpace\xunwu\build\classes\java\main\com\cpf\xunwu\mapper\SupportAddressMapper.class]
[2020-01-26 16:14:29.912]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner scanCandidateComponents  437 - Identified candidate component class: file [E:\IdeaWorkSpace\xunwu\build\classes\java\main\com\cpf\xunwu\mapper\UserMapper.class]
[2020-01-26 16:14:29.912]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner debug  49 - Creating MapperFactoryBean with name 'houseDetailMapper' and 'com.cpf.xunwu.mapper.HouseDetailMapper' mapperInterface
[2020-01-26 16:14:29.912]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner debug  49 - Enabling autowire by type for MapperFactoryBean with name 'houseDetailMapper'.
[2020-01-26 16:14:29.912]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner debug  49 - Creating MapperFactoryBean with name 'houseMapper' and 'com.cpf.xunwu.mapper.HouseMapper' mapperInterface
[2020-01-26 16:14:29.913]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner debug  49 - Enabling autowire by type for MapperFactoryBean with name 'houseMapper'.
[2020-01-26 16:14:29.913]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner debug  49 - Creating MapperFactoryBean with name 'housePictureMapper' and 'com.cpf.xunwu.mapper.HousePictureMapper' mapperInterface
[2020-01-26 16:14:29.913]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner debug  49 - Enabling autowire by type for MapperFactoryBean with name 'housePictureMapper'.
[2020-01-26 16:14:29.913]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner debug  49 - Creating MapperFactoryBean with name 'houseTagMapper' and 'com.cpf.xunwu.mapper.HouseTagMapper' mapperInterface
[2020-01-26 16:14:29.913]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner debug  49 - Enabling autowire by type for MapperFactoryBean with name 'houseTagMapper'.
[2020-01-26 16:14:29.913]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner debug  49 - Creating MapperFactoryBean with name 'roleMapper' and 'com.cpf.xunwu.mapper.RoleMapper' mapperInterface
[2020-01-26 16:14:29.913]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner debug  49 - Enabling autowire by type for MapperFactoryBean with name 'roleMapper'.
[2020-01-26 16:14:29.913]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner debug  49 - Creating MapperFactoryBean with name 'subwayMapper' and 'com.cpf.xunwu.mapper.SubwayMapper' mapperInterface
[2020-01-26 16:14:29.913]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner debug  49 - Enabling autowire by type for MapperFactoryBean with name 'subwayMapper'.
[2020-01-26 16:14:29.913]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner debug  49 - Creating MapperFactoryBean with name 'subwayStationMapper' and 'com.cpf.xunwu.mapper.SubwayStationMapper' mapperInterface
[2020-01-26 16:14:29.914]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner debug  49 - Enabling autowire by type for MapperFactoryBean with name 'subwayStationMapper'.
[2020-01-26 16:14:29.914]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner debug  49 - Creating MapperFactoryBean with name 'supportAddressMapper' and 'com.cpf.xunwu.mapper.SupportAddressMapper' mapperInterface
[2020-01-26 16:14:29.914]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner debug  49 - Enabling autowire by type for MapperFactoryBean with name 'supportAddressMapper'.
[2020-01-26 16:14:29.914]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner debug  49 - Creating MapperFactoryBean with name 'userMapper' and 'com.cpf.xunwu.mapper.UserMapper' mapperInterface
[2020-01-26 16:14:29.914]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner debug  49 - Enabling autowire by type for MapperFactoryBean with name 'userMapper'.
[2020-01-26 16:14:38.888]  DEBUG org.apache.ibatis.logging.LogFactory setImplementation  105 - Logging initialized using 'class org.apache.ibatis.logging.slf4j.Slf4jImpl' adapter.
[2020-01-26 16:14:38.890]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner scanCandidateComponents  437 - Identified candidate component class: file [E:\IdeaWorkSpace\xunwu\build\classes\java\main\com\cpf\xunwu\mapper\HouseDetailMapper.class]
[2020-01-26 16:14:38.890]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner scanCandidateComponents  437 - Identified candidate component class: file [E:\IdeaWorkSpace\xunwu\build\classes\java\main\com\cpf\xunwu\mapper\HouseMapper.class]
[2020-01-26 16:14:38.890]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner scanCandidateComponents  437 - Identified candidate component class: file [E:\IdeaWorkSpace\xunwu\build\classes\java\main\com\cpf\xunwu\mapper\HousePictureMapper.class]
[2020-01-26 16:14:38.891]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner scanCandidateComponents  437 - Identified candidate component class: file [E:\IdeaWorkSpace\xunwu\build\classes\java\main\com\cpf\xunwu\mapper\HouseTagMapper.class]
[2020-01-26 16:14:38.891]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner scanCandidateComponents  437 - Identified candidate component class: file [E:\IdeaWorkSpace\xunwu\build\classes\java\main\com\cpf\xunwu\mapper\RoleMapper.class]
[2020-01-26 16:14:38.891]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner scanCandidateComponents  437 - Identified candidate component class: file [E:\IdeaWorkSpace\xunwu\build\classes\java\main\com\cpf\xunwu\mapper\SubwayMapper.class]
[2020-01-26 16:14:38.891]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner scanCandidateComponents  437 - Identified candidate component class: file [E:\IdeaWorkSpace\xunwu\build\classes\java\main\com\cpf\xunwu\mapper\SubwayStationMapper.class]
[2020-01-26 16:14:38.891]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner scanCandidateComponents  437 - Identified candidate component class: file [E:\IdeaWorkSpace\xunwu\build\classes\java\main\com\cpf\xunwu\mapper\SupportAddressMapper.class]
[2020-01-26 16:14:38.891]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner scanCandidateComponents  437 - Identified candidate component class: file [E:\IdeaWorkSpace\xunwu\build\classes\java\main\com\cpf\xunwu\mapper\UserMapper.class]
[2020-01-26 16:14:38.892]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner debug  49 - Creating MapperFactoryBean with name 'houseDetailMapper' and 'com.cpf.xunwu.mapper.HouseDetailMapper' mapperInterface
[2020-01-26 16:14:38.892]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner debug  49 - Enabling autowire by type for MapperFactoryBean with name 'houseDetailMapper'.
[2020-01-26 16:14:38.893]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner debug  49 - Creating MapperFactoryBean with name 'houseMapper' and 'com.cpf.xunwu.mapper.HouseMapper' mapperInterface
[2020-01-26 16:14:38.893]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner debug  49 - Enabling autowire by type for MapperFactoryBean with name 'houseMapper'.
[2020-01-26 16:14:38.893]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner debug  49 - Creating MapperFactoryBean with name 'housePictureMapper' and 'com.cpf.xunwu.mapper.HousePictureMapper' mapperInterface
[2020-01-26 16:14:38.893]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner debug  49 - Enabling autowire by type for MapperFactoryBean with name 'housePictureMapper'.
[2020-01-26 16:14:38.893]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner debug  49 - Creating MapperFactoryBean with name 'houseTagMapper' and 'com.cpf.xunwu.mapper.HouseTagMapper' mapperInterface
[2020-01-26 16:14:38.893]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner debug  49 - Enabling autowire by type for MapperFactoryBean with name 'houseTagMapper'.
[2020-01-26 16:14:38.893]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner debug  49 - Creating MapperFactoryBean with name 'roleMapper' and 'com.cpf.xunwu.mapper.RoleMapper' mapperInterface
[2020-01-26 16:14:38.893]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner debug  49 - Enabling autowire by type for MapperFactoryBean with name 'roleMapper'.
[2020-01-26 16:14:38.893]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner debug  49 - Creating MapperFactoryBean with name 'subwayMapper' and 'com.cpf.xunwu.mapper.SubwayMapper' mapperInterface
[2020-01-26 16:14:38.893]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner debug  49 - Enabling autowire by type for MapperFactoryBean with name 'subwayMapper'.
[2020-01-26 16:14:38.894]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner debug  49 - Creating MapperFactoryBean with name 'subwayStationMapper' and 'com.cpf.xunwu.mapper.SubwayStationMapper' mapperInterface
[2020-01-26 16:14:38.894]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner debug  49 - Enabling autowire by type for MapperFactoryBean with name 'subwayStationMapper'.
[2020-01-26 16:14:38.894]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner debug  49 - Creating MapperFactoryBean with name 'supportAddressMapper' and 'com.cpf.xunwu.mapper.SupportAddressMapper' mapperInterface
[2020-01-26 16:14:38.894]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner debug  49 - Enabling autowire by type for MapperFactoryBean with name 'supportAddressMapper'.
[2020-01-26 16:14:38.894]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner debug  49 - Creating MapperFactoryBean with name 'userMapper' and 'com.cpf.xunwu.mapper.UserMapper' mapperInterface
[2020-01-26 16:14:38.894]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner debug  49 - Enabling autowire by type for MapperFactoryBean with name 'userMapper'.
[2020-01-26 16:20:30.181]  DEBUG org.apache.ibatis.logging.LogFactory setImplementation  105 - Logging initialized using 'class org.apache.ibatis.logging.slf4j.Slf4jImpl' adapter.
[2020-01-26 16:20:30.183]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner scanCandidateComponents  437 - Identified candidate component class: file [E:\IdeaWorkSpace\xunwu\build\classes\java\main\com\cpf\xunwu\mapper\HouseDetailMapper.class]
[2020-01-26 16:20:30.183]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner scanCandidateComponents  437 - Identified candidate component class: file [E:\IdeaWorkSpace\xunwu\build\classes\java\main\com\cpf\xunwu\mapper\HouseMapper.class]
[2020-01-26 16:20:30.183]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner scanCandidateComponents  437 - Identified candidate component class: file [E:\IdeaWorkSpace\xunwu\build\classes\java\main\com\cpf\xunwu\mapper\HousePictureMapper.class]
[2020-01-26 16:20:30.183]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner scanCandidateComponents  437 - Identified candidate component class: file [E:\IdeaWorkSpace\xunwu\build\classes\java\main\com\cpf\xunwu\mapper\HouseTagMapper.class]
[2020-01-26 16:20:30.184]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner scanCandidateComponents  437 - Identified candidate component class: file [E:\IdeaWorkSpace\xunwu\build\classes\java\main\com\cpf\xunwu\mapper\RoleMapper.class]
[2020-01-26 16:20:30.184]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner scanCandidateComponents  437 - Identified candidate component class: file [E:\IdeaWorkSpace\xunwu\build\classes\java\main\com\cpf\xunwu\mapper\SubwayMapper.class]
[2020-01-26 16:20:30.184]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner scanCandidateComponents  437 - Identified candidate component class: file [E:\IdeaWorkSpace\xunwu\build\classes\java\main\com\cpf\xunwu\mapper\SubwayStationMapper.class]
[2020-01-26 16:20:30.184]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner scanCandidateComponents  437 - Identified candidate component class: file [E:\IdeaWorkSpace\xunwu\build\classes\java\main\com\cpf\xunwu\mapper\SupportAddressMapper.class]
[2020-01-26 16:20:30.184]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner scanCandidateComponents  437 - Identified candidate component class: file [E:\IdeaWorkSpace\xunwu\build\classes\java\main\com\cpf\xunwu\mapper\UserMapper.class]
[2020-01-26 16:20:30.185]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner debug  49 - Creating MapperFactoryBean with name 'houseDetailMapper' and 'com.cpf.xunwu.mapper.HouseDetailMapper' mapperInterface
[2020-01-26 16:20:30.185]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner debug  49 - Enabling autowire by type for MapperFactoryBean with name 'houseDetailMapper'.
[2020-01-26 16:20:30.185]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner debug  49 - Creating MapperFactoryBean with name 'houseMapper' and 'com.cpf.xunwu.mapper.HouseMapper' mapperInterface
[2020-01-26 16:20:30.185]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner debug  49 - Enabling autowire by type for MapperFactoryBean with name 'houseMapper'.
[2020-01-26 16:20:30.186]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner debug  49 - Creating MapperFactoryBean with name 'housePictureMapper' and 'com.cpf.xunwu.mapper.HousePictureMapper' mapperInterface
[2020-01-26 16:20:30.186]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner debug  49 - Enabling autowire by type for MapperFactoryBean with name 'housePictureMapper'.
[2020-01-26 16:20:30.186]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner debug  49 - Creating MapperFactoryBean with name 'houseTagMapper' and 'com.cpf.xunwu.mapper.HouseTagMapper' mapperInterface
[2020-01-26 16:20:30.186]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner debug  49 - Enabling autowire by type for MapperFactoryBean with name 'houseTagMapper'.
[2020-01-26 16:20:30.186]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner debug  49 - Creating MapperFactoryBean with name 'roleMapper' and 'com.cpf.xunwu.mapper.RoleMapper' mapperInterface
[2020-01-26 16:20:30.186]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner debug  49 - Enabling autowire by type for MapperFactoryBean with name 'roleMapper'.
[2020-01-26 16:20:30.186]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner debug  49 - Creating MapperFactoryBean with name 'subwayMapper' and 'com.cpf.xunwu.mapper.SubwayMapper' mapperInterface
[2020-01-26 16:20:30.186]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner debug  49 - Enabling autowire by type for MapperFactoryBean with name 'subwayMapper'.
[2020-01-26 16:20:30.186]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner debug  49 - Creating MapperFactoryBean with name 'subwayStationMapper' and 'com.cpf.xunwu.mapper.SubwayStationMapper' mapperInterface
[2020-01-26 16:20:30.186]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner debug  49 - Enabling autowire by type for MapperFactoryBean with name 'subwayStationMapper'.
[2020-01-26 16:20:30.187]  DEBUG org.mybatis.spring.mapper.ClassPathMapperScanner debug  49 - Creating MapperFactoryBean with name 'supportAddressMapper' and 'com.cpf.xunwu.mapper.SupportAddressMapper' mapperInterface
